a,b,c
0.879773,2.394445,-15.873609
-0.479772,-8.463614,10.768623
-3.826887,6.370961,23.230964
-0.615852,-7.464797,7.996549
-0.234445,7.422564,-12.230104
-0.015678,9.911573,-4.005939
-0.104519,1.877742,-19.736137
0.037009,-9.831327,-4.174899
-1.714855,10.009986,2.898637
0.002267,-3.359307,19.341402
0.267378,-2.082753,-19.475254
-0.246293,2.223178,-24.770267
1.386827,-7.242268,-14.378735
-0.744624,3.235068,21.427129
-0.446263,9.687610,-12.277457
0.363796,-1.097234,-22.389981
-0.189985,7.577836,13.053675
0.252349,-9.671805,5.522378
1.515039,9.062899,-14.201593
0.412009,-11.120014,-4.563951
0.797094,5.824015,-12.666347
-1.826877,7.085587,-9.371107
0.462352,9.343463,10.096440
2.234008,-3.752266,-19.476088
0.168149,-1.783266,18.940697
0.837087,6.660981,18.272771
-0.470522,0.694918,19.748617
0.756286,3.163739,22.052079
-0.579239,-7.955659,-18.757273
0.830260,6.719748,-14.430546
-0.056092,9.753026,-4.553881
0.121275,9.010972,15.846841
-0.173179,9.324108,-7.734667
0.024548,-6.083639,-16.899018
0.203763,-3.076127,22.685701
0.664293,0.494859,-21.812823
3.841361,1.236044,-22.687334
-0.662365,3.927643,-17.253146
-0.080474,-4.104489,17.516498
0.350620,3.884261,-22.198068
0.673870,5.201801,15.006930
0.904017,-7.127789,-15.312989
0.006965,8.294687,11.996771
-0.002584,-6.549448,15.849262
-0.791691,-8.496570,-10.148263
-2.926724,0.223289,12.075399
-1.403981,6.218831,11.425934
0.003250,-9.696955,-4.711732
-0.855884,3.300116,18.098314
0.391420,5.624952,16.061623
0.778438,12.742796,0.006401
-0.015274,-3.658817,-20.016606
0.035466,0.230997,-22.301081
0.297993,-3.568885,12.994462
0.303622,-0.846602,-20.912269
-0.659263,9.065446,10.311148
0.072284,-8.471693,-10.866373
1.550559,-8.292588,-7.569105
0.419925,-9.402828,14.047188
-0.019847,9.919165,1.820549
0.339017,8.578360,13.298468
-3.143725,-6.337055,-19.055838
-1.391273,-7.676636,-7.984969
0.000350,-8.231650,-10.466230
0.341391,-9.506239,-2.111726
0.090526,7.055817,15.362153
0.153740,7.799260,-13.712562
-1.286315,5.084250,-20.079037
0.053745,-11.463591,-10.217048
-1.142896,6.878383,-11.710578
-0.400691,10.536649,-3.115129
-0.874532,-9.723692,-0.541820
1.142132,5.211409,-15.178904
-0.070998,-6.885882,11.891070
-4.061626,5.291626,-4.603608
0.414029,7.517276,-15.510395
-0.039710,-6.883473,15.667098
2.795502,8.051987,3.462524
-1.328942,-8.305260,13.306166
0.458865,5.892450,-13.075181
-1.327790,7.698055,3.463633
-0.077049,-9.551756,-5.626058
-0.067233,-9.082158,-8.745106
0.396828,1.973525,-23.226050
-0.029292,3.469619,18.790187
2.659748,-9.250824,-12.145685
0.558641,9.554877,-7.112144
0.297792,1.549900,18.523650
0.291452,11.429988,6.575866
0.929010,-3.998467,19.680974
0.078415,5.360970,15.946835
-0.367378,0.594603,17.649416
-0.412767,-9.055479,1.008921
-0.926750,-9.158341,-4.809511
-0.213502,4.995951,-17.180667
1.474512,-9.430017,-5.319711
-0.883665,6.796475,14.185742
-0.020533,-6.479726,-15.215399
0.979688,-9.198290,-13.357989
0.051518,-9.980905,-4.137220
-0.700834,4.023763,-17.128553
0.224902,-8.561001,-5.901417
1.700389,-4.548917,13.460659
0.318365,-7.396338,-1.940783
0.191675,-9.398800,1.254017
-0.067681,2.749760,-18.950176
-0.773577,3.540015,-20.906717
1.704168,10.520232,-6.747350
0.117791,4.273392,18.413551
-1.704741,-4.953856,-16.599246
0.735325,10.489964,-2.550977
-2.584491,-2.776818,24.552260
3.157480,10.498818,14.838962
-1.083158,-7.791410,11.045269
-0.374841,6.303432,16.638763
0.731000,5.256207,-12.791059
0.354529,9.550288,-8.192512
-0.009449,-7.556618,-13.163508
-0.621779,0.508889,-16.183722
0.304855,7.398837,14.558902
0.337314,5.740442,12.942201
0.639109,9.246440,-3.484062
0.343765,0.374914,-20.138263
-1.573262,7.501145,-3.172220
-0.058731,-3.201794,-18.679074
-0.406265,-8.997480,9.426361
0.252042,4.450636,15.400677
-0.537946,9.588105,7.544192
-1.571403,8.108099,-13.144119
-1.217721,1.668827,-16.465166
0.076890,9.217011,-7.987077
-0.434093,5.633081,-16.825415
-0.819638,-2.606356,17.669386
0.545163,-9.843932,4.359191
0.952157,7.644888,-10.832728
0.775735,7.384666,14.942826
2.218546,-8.140153,9.065599
-0.741431,-6.814445,14.937880
-0.013769,-0.180946,20.067698
-0.416118,2.240105,-16.921818
-0.274671,9.285618,-5.447343
-0.137746,-6.035008,-15.697379
0.174837,7.667736,-12.172724
-0.437134,-9.387314,-5.692155
-2.094515,2.979292,17.025133
1.514332,5.893562,16.072062
0.941748,0.728669,21.077590
0.794271,-7.996929,7.913549
-1.100333,-0.948225,-21.076821
-0.092324,-2.028132,19.557806
-0.315155,7.114652,9.234421
-1.881156,5.863115,-15.622448
-0.386923,-7.835620,-6.665617
0.016144,8.090312,11.940235
-0.030190,1.361078,20.005891
-1.241939,7.005218,-12.582760
-0.736211,-6.943846,12.766237
0.082466,-9.918267,3.740549
1.112353,-5.161386,19.333521
0.031450,-8.667996,9.526765
-0.506324,1.110655,-21.283733
0.476167,-4.851413,15.791917
-1.886680,-4.726615,-13.466821
-0.283733,6.278714,-14.672610
-0.815541,-0.678294,-20.961320
-2.191353,-7.248101,11.245098
-0.874729,-2.282790,21.996790
1.156920,0.159986,17.831557
-0.102013,-5.189713,16.697820
-1.103546,-7.066026,-21.077338
1.465529,-6.392642,13.866189
0.357381,3.466264,17.170221
1.734079,-10.215432,-3.943318
-0.146254,3.344765,-23.258905
-0.420488,-8.059047,-12.362563
2.224072,7.629578,-9.995090
-1.746683,8.346022,-13.944098
0.143960,-5.153132,17.193157
-0.415166,-3.508348,-17.032046
0.056354,1.122414,-19.136527
0.253197,10.227464,0.676068
-1.276183,7.863489,1.288501
-2.067746,3.447432,-16.175007
-0.366163,-0.664964,20.388513
-0.566884,-9.696804,4.546979
-0.242297,0.983816,-19.246662
0.276671,7.327420,-15.069537
0.111086,5.123861,16.885930
0.047378,7.624985,-12.416858
-1.988524,0.918920,12.008383
-0.109442,0.619097,19.774234
-0.391606,0.657933,-14.831642
0.262498,8.052520,8.581001
-0.057458,-1.681102,20.023294
-0.291466,-5.303823,18.058725
-0.284887,-9.750019,4.938840
-1.604304,-9.959370,-11.306829
0.805428,10.319906,-0.629430
-1.671087,4.939897,19.637519
-0.454254,8.831591,-13.765759
0.051999,-2.612388,17.974946
-4.415484,6.743510,-1.746781
0.191893,-3.105006,20.027722
1.668028,9.507258,5.239924
