a,b,c
-10.794039,7.474015,-9.279367
9.680439,-9.551799,1.696597
10.812398,-6.047605,21.010245
7.408730,-8.052615,0.559785
-10.783888,8.868780,-3.126879
-5.984936,7.932577,3.942316
-13.853018,7.760861,-11.870757
0.518516,-5.137912,-9.349821
-2.547474,4.563875,9.177367
14.015549,-8.685160,10.653975
-12.111000,5.281501,-14.461131
-17.418766,9.574679,-14.949295
-6.247183,0.889284,-14.876278
12.709981,-5.482081,16.689672
-11.711683,10.253383,-1.577811
-14.318379,6.974368,-15.779408
6.049848,0.574009,13.817669
7.073753,-8.120430,-2.850401
-11.478668,11.785823,-3.930809
0.938710,-5.617353,-10.593313
-9.854173,8.636188,-4.827253
-9.827185,6.629509,-0.914721
3.924707,3.171730,12.805818
-10.243965,5.479857,-16.230239
13.333653,-7.390311,11.382238
10.519579,-1.092212,16.343472
12.620424,-6.433275,13.785864
14.150997,-4.737343,16.558450
-10.239122,0.562492,-17.615541
-11.306773,9.843521,-5.417285
-6.324324,7.982583,3.484794
7.641754,0.805884,16.531450
-8.379933,8.678841,1.117354
-9.221767,1.593612,-15.329954
16.285018,-9.476809,13.005128
-14.263973,8.043709,-14.433407
-12.975997,10.947381,-15.581313
-13.252888,7.927901,-8.662880
12.992179,-8.628808,8.968165
-15.859719,10.222610,-12.326078
8.719933,-1.085196,13.247864
-7.230051,0.955148,-15.261858
5.237595,1.535511,13.525317
12.747602,-9.651109,6.200737
-4.461113,-2.809420,-12.165991
6.024687,-5.827423,9.174700
4.608358,-0.598744,12.231170
0.093330,-4.891893,-9.606875
10.394915,-4.403283,14.550915
9.093712,-1.342960,14.327243
-3.724373,9.012023,8.239986
-12.134981,4.222808,-15.778524
-14.920742,7.611335,-14.725211
10.051265,-6.512082,6.184387
-13.456897,6.608770,-14.607121
3.412775,2.167073,13.137483
-4.372162,-1.977482,-12.916139
-1.248168,-1.971651,-11.091315
12.779018,-10.670997,2.956265
-2.105920,5.992696,7.833092
6.232203,1.512095,14.471546
-12.687356,0.031426,-15.880687
-3.691950,-3.383616,-9.977312
-4.233370,-1.998789,-12.465370
1.988523,-5.405990,-7.859107
7.949847,-0.356489,14.915138
-11.638968,9.872854,-3.993448
-15.938318,9.224969,-9.567753
-2.954338,-4.200881,-14.471675
-10.861777,7.727184,-2.840499
-5.856096,7.795682,5.081244
2.296995,-6.884876,-6.552164
-11.094984,9.295328,-7.025707
10.175341,-8.601610,3.360458
-7.540698,2.354536,1.812554
-12.570003,10.457668,-5.466755
12.712750,-9.837821,5.868986
1.488022,6.077485,6.744506
10.753236,-10.858190,3.776918
-10.375028,8.592604,-4.941442
-1.142123,3.092299,7.883722
-0.618153,-4.543851,-10.092859
-2.847506,-3.184559,-11.862432
-15.877322,9.322252,-14.300626
11.350723,-3.969844,14.849634
-3.240350,-0.345489,-15.150922
-7.553961,9.113060,1.442275
12.030995,-4.942755,13.283103
0.768216,5.622338,11.906752
15.072811,-8.606629,10.145335
8.896510,-1.689355,14.179065
11.323158,-5.731656,12.285139
3.415929,-6.648471,-5.226783
-0.771393,-5.120224,-9.002985
-13.261430,8.915188,-8.051977
0.579873,-3.530433,-10.324656
6.602560,-0.786707,14.282700
-7.997379,0.738294,-14.456573
-5.186104,-1.026405,-15.364082
0.603166,-5.240518,-9.429256
-13.227512,7.924803,-8.502915
-0.930677,-3.590260,-9.716579
11.623671,-6.385905,5.374365
1.383834,-4.071721,-6.330869
4.096728,-6.556089,-5.493747
-13.595158,8.104778,-10.777717
-15.633534,8.813198,-11.319943
-6.868866,10.398717,1.947198
10.929764,-3.210395,15.085365
-10.551373,1.094017,-13.800488
-4.707089,8.333852,5.047550
15.570785,-11.758293,15.378459
8.498022,4.157878,15.839360
9.238544,-9.598135,2.530292
8.741471,-1.593860,15.419744
-9.792109,8.255158,-5.266902
-8.408751,9.334049,0.787008
-6.263099,-0.656208,-13.810268
-11.373297,5.319314,-10.242629
7.442892,0.282827,14.536874
6.939529,-0.262230,12.342658
-4.978782,7.751720,3.628549
-13.321303,7.191874,-13.290155
-5.664036,5.009329,3.410370
-11.424606,4.052675,-14.567668
9.012557,-9.411283,0.421342
8.951601,-1.998440,13.150194
1.474795,3.518709,11.600847
-12.513048,8.739170,-2.833546
-12.344867,5.789126,-9.458319
-8.345795,8.858293,0.794327
-13.384033,9.074464,-7.316858
12.101950,-8.173791,10.315232
6.550880,-7.652243,-3.838215
-9.135343,9.342273,-2.442612
8.017485,0.459326,14.626416
10.236147,-6.969604,-0.122551
11.735780,-10.016544,5.662767
13.429601,-6.819042,13.262424
-12.305326,6.856597,-9.649102
-6.909882,7.823079,2.650407
-8.545081,1.117290,-14.442343
-10.554503,9.285956,-3.061604
-0.957088,-4.652247,-9.907268
8.960649,-5.085193,14.034455
9.759742,-0.418758,14.138972
14.436669,-5.912252,14.223590
8.470856,-7.439622,-0.320344
-14.468694,5.659901,-14.316586
13.653031,-7.932906,11.717224
3.574626,1.454858,11.004434
-13.623441,7.862122,-5.879170
-2.089820,-3.259823,-9.538517
5.274149,1.424226,13.348317
12.863441,-5.781371,14.254709
-11.551539,8.036439,-3.304382
10.334633,-9.375450,4.126997
5.854766,-7.804050,-4.145967
15.351045,-9.143862,9.077306
9.261475,-8.933286,0.562030
-14.896923,7.497465,-13.279944
12.462527,-8.180803,7.134947
-8.660130,0.080077,-11.500064
-12.063800,8.887524,-5.501353
-14.291809,5.991217,-14.154563
8.451864,-10.041335,3.395115
14.842304,-9.437276,13.434243
12.605656,-5.065914,11.608722
12.793775,-9.093757,7.706076
-12.431914,1.579398,-18.394394
12.352026,-7.906805,4.493855
10.529646,-3.174310,13.638530
1.932318,-4.339796,-10.017194
-16.718361,9.885309,-13.227342
-5.835685,-1.532169,-13.474244
-7.723871,9.900796,-2.318365
-13.242527,9.047592,-3.149823
13.275789,-9.070500,7.978696
-10.462026,3.061672,-13.555208
-13.094253,7.164688,-12.028194
-2.789644,6.761751,7.184622
-2.612951,3.962037,6.526721
-13.310980,6.311459,-7.795802
13.569888,-7.483589,13.271087
5.885665,-8.358118,-3.244255
-13.320578,6.909900,-12.094465
-12.304384,10.092573,-5.253634
9.623390,-2.138678,14.636165
-10.787981,9.253861,-3.210375
6.373600,-4.715864,9.281043
12.903496,-6.251641,13.632035
-10.368143,5.121432,-9.318604
3.211493,2.683012,11.001514
13.870925,-7.833471,12.247281
13.612781,-9.749768,8.600423
6.352641,-8.336217,-3.112490
-5.287632,-3.940173,-13.642698
-3.322637,7.626700,6.191841
10.330989,-4.366633,16.941973
-12.423872,10.173478,-3.138028
12.888759,-7.698574,10.224372
-6.356013,2.134278,4.802980
14.514746,-8.617982,11.217847
1.436215,5.703549,9.275446
-10.022961,3.172069,-12.903633
-1.647532,-2.530109,-13.234658
-14.473026,6.060468,-10.384731
-2.800052,-3.744316,-11.054189
-11.916382,6.071557,-13.308292
13.309738,-10.522126,5.387840
3.153206,4.116549,11.389923
-3.445878,-2.726169,-11.446575
-8.130960,8.359242,-2.540458
9.735630,-4.724117,14.390822
-12.609126,9.160605,-6.500340
-13.859844,7.247787,-13.998390
4.769072,-5.360515,-7.770900
-15.886826,8.166055,-11.817131
-2.802733,6.563794,6.436234
-13.737335,7.017244,-13.604823
6.972237,-9.005008,-3.040309
2.001172,3.014349,10.776069
10.452096,-4.751867,15.005516
-6.087329,8.852088,0.614230
-9.934175,9.652541,-2.800003
5.298927,0.689766,15.168782
13.974504,-8.813787,8.910655
-0.944503,-4.716287,-10.183783
11.096536,-7.889510,7.865406
-11.068655,9.515940,-3.110571
-0.288947,-4.849806,-9.711598
-13.464250,6.485135,-13.096885
9.420789,-1.222896,16.708668
-12.213237,9.140613,-4.669272
13.354325,-4.584600,17.081619
11.064176,-7.872707,11.107694
-1.979801,-3.416155,-11.613430
-11.651825,5.953994,-16.000095
9.767382,-7.171419,7.953925
4.815678,-6.537065,-4.871222
-2.074955,5.857602,8.366418
18.910807,-9.589901,8.162035
3.645335,-6.645499,-6.348299
-0.574822,3.230502,10.153464
-10.363121,7.569864,-6.083876
-2.381261,-4.728812,-10.745366
1.809701,4.859456,10.625179
-5.166509,-1.561406,-12.994423
-3.062649,7.568872,6.429182
-6.994886,-1.670640,-14.644590
-14.977453,9.421469,-11.061906
-12.734668,6.815872,-12.860840
4.102699,-6.615933,-6.251087
-9.901114,6.027227,-12.253672
-13.285459,8.738684,-8.708293
-13.341391,8.898512,-9.747661
-13.232226,8.985730,-8.068977
-17.689103,12.555184,-7.978456
0.302989,-7.555739,-10.849927
13.257127,-7.260878,9.017673
-10.282288,10.045843,-4.400792
11.777498,-5.150912,12.421050
-13.997107,8.188995,-10.537931
7.099959,2.315424,12.137962
11.690983,-4.773329,15.602620
7.088460,-9.828911,-1.103542
4.781902,-0.159720,13.499841
7.852109,-8.526406,-1.826051
-9.851357,4.040753,-10.848276
15.459123,-11.191109,6.875666
-10.013978,6.785317,-0.993172
4.881803,-7.523906,-4.996843
11.932260,-9.139044,5.755968
9.310419,-7.628959,-0.125244
13.532955,-7.148196,12.812399
9.357763,0.369459,12.415369
-1.813057,5.660189,12.601483
13.703707,-5.183089,15.693688
-9.363676,1.832542,-14.356533
4.710495,1.787261,12.833729
-11.967738,4.760842,-13.421300
-12.001238,9.936894,-4.316721
12.305802,-5.814134,13.484038
-12.260076,5.599341,-9.726206
7.979698,-0.773208,13.919006
3.944540,1.835348,14.345818
11.948387,-4.901521,11.444238
4.604902,1.933552,12.809488
3.469855,-7.765627,-7.581978
-7.607970,-0.626277,-13.383513
10.767885,-13.145924,5.199665
-8.089285,1.582610,-15.061062
12.735723,-9.837672,5.928503
-13.344660,11.040282,-0.669151
-3.468825,-0.956529,-12.746627
-3.702356,5.641649,8.433731
-3.970658,6.598614,4.990419
-10.280894,2.289513,-14.873764
9.141383,-0.198853,14.225373
-7.482077,8.361513,3.131282
-11.688640,4.238969,-14.516892
-10.855451,3.288094,-13.766160
10.773900,-1.735113,14.018379
13.405382,-8.979001,9.099478
9.189854,-2.293713,16.663610
-11.184789,8.728644,-6.278420
-8.185460,8.021075,1.147799
10.641892,-3.148172,14.823119
13.801653,-5.369885,14.698027
0.476600,-4.954924,-8.708041
-5.847719,7.481502,4.766099
-8.269826,8.165638,-0.757970
-1.783490,-2.500180,-12.120965
9.405226,-5.596988,15.988740
18.608298,-10.134384,7.556027
2.925677,1.271945,13.375822
1.958314,-7.347065,-6.255932
-7.959582,9.707030,3.448319
-15.179268,9.727469,-10.539277
0.059097,4.501538,10.465965
-12.695168,8.875601,-5.129114
-2.446210,-3.840158,-11.573345
-9.377724,9.025083,-3.460225
9.194828,-2.129524,15.162530
7.013872,-8.205698,-2.311542
-2.722336,-4.103741,-11.012209
-11.519510,9.571302,-4.631248
-3.149293,-1.816881,-11.049948
-12.092574,6.306562,-13.643830
5.463789,-6.330468,-4.484867
-11.776032,4.249611,-15.280841
13.143596,-9.153305,10.318989
8.348742,-7.140056,1.437438
10.454356,-8.445806,6.529859
7.766744,-8.123005,1.687444
2.540107,0.428312,11.589975
-0.769189,-2.958920,-13.412247
-2.567475,-3.174575,-9.553221
-11.043988,6.757770,-9.677710
10.968089,-9.653472,2.873525
-7.037296,9.745477,0.881597
-2.042227,6.456557,10.086351
8.547361,-9.890486,1.506064
15.016356,-8.263628,12.571296
12.011554,-9.673533,1.627848
-10.373554,8.255761,-11.193836
6.185604,0.899310,13.857604
-10.090022,3.010004,-14.670964
-5.044432,-1.206829,-14.652712
0.546943,-4.505529,-9.443725
8.396519,-9.369689,0.359741
13.659540,-11.031871,11.892265
-11.762105,6.227528,-12.001658
12.413085,-9.327356,6.204962
11.831160,-4.620351,15.361761
11.064068,-9.852527,3.713844
-11.494550,9.577880,-8.311173
3.556748,2.237489,11.843785
3.011540,4.194909,9.987397
8.182869,-9.085756,-1.104880
8.576927,-0.809906,14.768082
-8.320168,8.315820,-1.356480
-11.716312,4.372789,-11.204400
-16.483615,7.865745,-13.383096
3.013559,7.133440,9.200460
-0.209035,4.973625,9.499585
10.814433,-4.503289,13.139138
3.249416,-8.067798,-5.910515
-12.602216,5.459520,-14.154979
-4.669384,7.759697,4.972140
5.268438,0.962725,14.279974
-12.853353,5.662772,-14.356271
-6.971469,7.979250,1.891987
13.577440,-9.169151,9.551420
-5.604658,2.181314,-15.718544
-8.190951,7.702281,0.387298
11.352649,-6.838713,7.153391
-8.384569,11.657233,-1.655214
-6.078154,9.088922,4.148296
6.365470,2.065328,11.647831
-9.752083,8.991061,-0.928893
-12.775301,9.173320,-7.614700
0.611354,-5.357125,-9.273459
-12.625037,7.915365,-7.767647
-4.070831,7.262030,3.832924
8.673647,0.827943,13.259431
-5.415903,-1.792974,-13.181412
1.994156,-3.720169,-7.953393
-10.367336,6.474444,-8.466326
15.029021,-6.518077,14.559678
-11.616747,7.555677,-12.067848
-10.227657,8.792566,3.164913
-8.126921,6.966794,-0.538153
4.219395,-5.488932,-3.008310
-5.272522,1.754037,-13.911855
-5.278340,-2.229921,-14.989154
-9.517714,3.910121,-16.692174
7.605350,-8.960517,-0.939793
15.388271,-7.040065,13.689790
14.488395,-6.274535,15.912531
11.766928,-10.580559,7.519932
-11.277814,9.428536,-4.608068
-8.651154,0.484087,-16.004639
6.703367,0.752614,13.023895
-3.672019,7.305520,5.621806
14.908677,-9.395126,13.600468
-3.099898,6.103200,8.074342
10.870826,-3.520780,14.318840
-14.307913,9.142777,-10.396434
-3.991313,7.297216,9.184190
13.233349,-7.021692,12.800641
-11.616049,4.137484,-14.800276
7.869917,-2.092372,13.301251
16.060965,-6.921542,18.909130
-5.688972,-4.032823,-15.031659
-12.682732,6.910296,-12.829277
11.900385,-4.632731,13.809652
-11.289874,4.463241,-13.669322
16.507355,-9.508599,9.135039
10.264149,-11.087757,1.687549
-9.006713,1.376651,-14.703184
8.625456,-2.186308,13.843829
6.476944,-8.503126,-3.187345
-12.128645,8.599281,-7.348921
14.041767,-8.451070,14.031347
10.278445,-2.879817,14.917294
8.770344,-8.765660,-0.106960
7.169303,-8.346304,-2.136706
6.256535,0.248140,11.176089
9.164029,-10.352790,1.297004
12.117887,-6.871287,16.747018
14.115078,-3.076471,13.383772
13.218430,-8.770437,7.883789
2.999204,-5.382748,-8.140122
-2.870872,4.393019,10.383724
-17.684648,8.409740,-11.993244
5.495211,-7.844034,-4.272647
-8.099549,2.294850,-14.014254
-17.578707,9.330516,-13.546580
-13.952939,8.646145,-10.796035
-12.205417,8.929338,-6.547403
2.152120,-7.347090,-7.603223
-4.068595,7.305763,5.596707
-9.570664,6.950883,-1.078611
13.186880,-7.213048,10.951872
-12.672494,5.533040,-13.071496
11.698528,-8.987569,10.961031
4.155144,0.885675,12.060067
-10.622715,6.278672,-0.189184
-10.721580,8.161677,-0.593502
-10.184908,2.891514,-12.874857
8.747283,-8.227310,-1.104414
-8.339819,8.496530,5.452069
-14.068047,9.002294,-7.838217
12.563877,-5.717232,15.344535
7.250491,-0.519635,14.462554
12.522133,-5.725634,13.616901
16.026869,-6.576431,14.691182
-15.341625,8.956571,-10.388796
9.996050,-2.616599,13.914854
-4.411041,5.635397,7.564668
-6.297836,0.592983,-13.435843
10.721746,-9.803758,1.549332
-14.002224,8.879319,-6.924704
10.115237,-9.180966,1.713634
-7.691141,8.038550,2.798527
-1.881533,-4.167925,-9.250052
-9.096847,1.844637,-15.257390
-11.538899,9.701714,-5.368911
-7.802414,8.518240,2.096068
-13.473975,13.890419,-5.072626
11.566589,-8.861128,3.169390
-13.114667,9.982596,-6.106549
0.953942,-4.320917,-9.377709
1.584030,-6.570482,-6.159360
7.749675,-2.364584,10.539780
10.659941,-2.550344,13.728754
11.247354,-4.902135,14.143770
7.913553,-6.601197,-1.218786
7.374184,-10.147055,3.275536
9.880239,-8.982026,1.632777
11.209081,-10.768420,-1.035703
-10.161209,1.605823,-18.377390
-1.190607,-4.372296,-10.579332
-15.070003,10.899198,-9.405565
13.555000,-9.499483,8.377427
-13.003788,6.087143,-14.278164
-16.546536,5.859080,-14.857137
13.197602,-6.844395,11.310779
-14.759202,10.785973,-9.186763
9.315653,-7.673090,5.538542
